code,name,parent,area,density,age_med,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
36075,Oswego,36,951.5982568,123.613089,40.6,0,0,0,0,0,0,0,0,121588,122220,122206,122055,121797,121659,121183,120513,119833,119104,118339,117630
36077,Otsego,36,1001.7363588,59.4897045,42,0,0,0,0,0,0,0,0,62086,62604,62380,62147,62029,61778,61399,60979,60750,60244,59972,59593
36079,Putnam,36,230.2517608,428.72202,44.2,0,0,0,0,0,0,0,0,99111,99545,99662,99702,99718,99697,99488,99408,99464,99070,98787,98714
36081,Queens,36,108.7239908,20887.5334941,39.3,0,0,0,0,0,0,0,0,2278860,2199169,2213977,2235008,2256400,2280602,2301139,2310011,2339280,2298513,2287388,2270976
36083,Rensselaer,36,652.4580261,243.7137619,39.9,0,0,0,0,0,0,0,0,155043,158629,159053,159464,159565,159600,159900,159959,159800,159431,159185,159013
36085,Richmond,36,57.5224924,8268.0005759,40.2,0,0,0,0,0,0,0,0,483168,463450,466034,468374,470223,471522,472481,473324,475948,474101,474893,475596
36087,Rockland,36,173.6844552,1872.4358476,35.9,0,0,0,0,0,0,0,0,297298,305461,308682,312011,315069,318186,320688,322642,325027,323686,324422,325213
36089,St. Lawrence,36,2679.3930498,40.4390091,39,0,0,0,0,0,0,0,0,109742,111778,111809,112060,112097,112015,112011,111529,110817,109558,108913,108352
36091,Saratoga,36,809.9692682,283.1132106,42.9,0,0,0,0,0,0,0,0,216491,217264,218520,219832,221169,222512,223774,224929,226632,227377,228502,229313
36093,Schenectady,36,204.6686327,757.7419068,39.9,0,0,0,0,0,0,0,0,150474,153268,153935,154466,154821,155178,154796,154845,155239,154883,154859,155086
36095,Schoharie,36,621.8184441,50.1577274,45.8,0,0,0,0,0,0,0,0,31813,32789,32766,32617,32404,32153,31913,31667,31611,31364,31222,31189
36097,Schuyler,36,328.3431222,54.3486335,46.8,0,0,0,0,0,0,0,0,18896,18566,18490,18472,18432,18458,18410,18336,18112,17992,17920,17845
36099,Seneca,36,323.6973,105.9477481,41.9,0,0,0,0,0,0,0,0,34181,35309,35306,35306,35359,35232,35144,35036,34843,34612,34390,34295
36101,Steuben,36,1390.50669,68.9266731,42.9,0,0,0,0,0,0,0,0,96674,98724,98837,98992,98951,98917,98665,98151,97539,96927,96422,95843
36103,Suffolk,36,910.9078792,1626.2500675,41.7,0,0,0,0,0,0,0,0,1511028,1482548,1487177,1492360,1495803,1500373,1501373,1498130,1497595,1487901,1483832,1481364
36105,Sullivan,36,968.1443345,77.8076133,42.8,0,0,0,0,0,0,0,0,75924,77625,77553,77340,77134,76892,76330,75818,75783,75211,75116,75329
36107,Tioga,36,518.7664879,93.3579966,44.8,0,0,0,0,0,0,0,0,50367,51377,51287,51067,50789,50464,50199,49649,49322,49045,48686,48431
36109,Tompkins,36,474.6415426,215.3983392,31.3,0,0,0,0,0,0,0,0,100583,100612,101033,101570,102270,103179,103855,104268,104415,102962,102642,102237
36111,Ulster,36,1124.2351376,158.6598693,44.1,0,0,0,0,0,0,0,0,181510,182782,182710,182516,182086,181598,181300,180505,180129,179303,178665,178371
36113,Warren,36,867.2209082,74.01459,46.9,0,0,0,0,0,0,0,0,65743,65707,65767,65700,65584,65388,65180,64911,64701,64480,64276,64187
36115,Washington,36,831.1886556,73.7546159,44.2,0,0,0,0,0,0,0,0,62486,63088,63174,63108,63237,62910,62700,62465,62183,61828,61616,61304
36117,Wayne,36,603.8297325,149.2192172,43.9,0,0,0,0,0,0,0,0,91658,93654,93628,93476,93224,92887,92416,91874,91442,90856,90519,90103
36119,Westchester,36,430.7229858,2249.0975219,41.1,0,0,0,0,0,0,0,0,949050,939406,944249,950227,956283,962319,967315,969229,975321,968815,968890,968738
36121,Wyoming,36,592.7511064,67.5274994,42.9,0,0,0,0,0,0,0,0,41820,42367,42223,42092,41923,41679,41446,41239,40886,40565,40305,40027
36123,Yates,36,338.1392299,73.8778521,40.7,0,0,0,0,0,0,0,0,24526,25250,25342,25351,25293,25281,25187,25106,25083,25009,25011,24981
42001,Adams,42,518.6895544,197.8582355,44,0,0,0,0,0,0,0,0,101011,100839,101137,101352,101496,101566,101767,101759,101589,102023,102470,102627
42003,Allegheny,42,729.9533319,1669.1204037,40.8,0,0,0,0,0,0,0,0,1222473,1223066,1223525,1224772,1226933,1229172,1231145,1230360,1229605,1225561,1221744,1218380
42005,Armstrong,42,653.3205329,100.0366538,47,0,0,0,0,0,0,0,0,68806,69489,69208,68942,68614,68343,67979,67512,66737,66331,65867,65356
42007,Beaver,42,434.6946587,379.0729808,45.1,0,0,0,0,0,0,0,0,173277,171569,171027,170614,170382,170124,169785,169205,168161,166896,165833,164781
42009,Bedford,42,1012.2406287,47.5716926,47,0,0,0,0,0,0,0,0,49648,49882,49864,49680,49490,49332,49086,48852,48891,48611,48337,48154
42011,Berks,42,856.401883,489.3286765,40.2,0,0,0,0,0,0,0,0,401488,407310,409624,411094,412078,413016,413965,414097,415500,416642,418025,419062
42013,Blair,42,525.2754111,233.2014738,43.6,0,0,0,0,0,0,0,0,125984,127071,127090,127133,126940,126708,126448,125917,124736,123842,123157,122495
42015,Bradford,42,1147.3746439,52.9216855,44.5,0,0,0,0,0,0,0,0,61375,62415,62522,62628,62624,62510,62228,61808,61546,61304,60963,60721
42017,Bucks,42,604.3667497,1038.5548185,44,0,0,0,0,0,0,0,0,621241,622859,624351,625485,625977,626205,626583,626220,626486,626370,626806,627668
42019,Butler,42,789.4856443,237.873863,43.4,0,0,0,0,0,0,0,0,182519,182554,183317,183946,184535,185034,185689,185974,185984,186566,186899,187798
42021,Cambria,42,687.5097553,191.4314655,45.6,0,0,0,0,0,0,0,0,145219,144741,144489,143305,142448,140835,139381,137762,135871,134550,133009,131611
42023,Cameron,42,396.2331634,11.3872346,51.6,0,0,0,0,0,0,0,0,5334,5197,5130,5058,5000,4939,4869,4807,4754,4686,4611,4512
42025,Carbon,42,381.3233599,167.7421494,46.6,0,0,0,0,0,0,0,0,62856,64563,64974,65101,65074,64874,64634,64330,63987,63931,63887,63964
42027,Centre,42,1108.7068707,146.3542838,32.9,0,0,0,0,0,0,0,0,144306,151411,152689,153758,154460,156240,157823,159178,160646,161443,161960,162264
42029,Chester,42,750.5456766,695.467333,40.6,0,0,0,0,0,0,0,0,486301,490571,495651,499548,503075,506422,509797,512028,514652,517156,519560,521980
42031,Clarion,42,600.8348523,64.2988666,41.8,0,0,0,0,0,0,0,0,39857,40290,40178,39991,39720,39437,39454,38939,38747,38827,38715,38633
42033,Clearfield,42,1145.3245453,69.3829538,45.4,0,0,0,0,0,0,0,0,82482,82131,81954,81668,81536,81472,81343,81170,80539,80216,79908,79466
42035,Clinton,42,887.9835003,43.4118427,39.4,0,0,0,0,0,0,0,0,37063,38970,39015,39261,39501,39611,39614,39536,39321,39074,38915,38549
42037,Columbia,42,483.2111313,135.3238693,41.2,0,0,0,0,0,0,0,0,64837,66642,67020,66984,67021,67089,66912,66772,66615,66220,65715,65390
42039,Crawford,42,1012.3545045,84.0357796,43.3,0,0,0,0,0,0,0,0,88810,89153,89058,88492,88173,87801,87343,87027,86847,86164,85665,85074
42041,Cumberland,42,545.4791713,461.0386853,40.7,0,0,0,0,0,0,0,0,227858,231336,233726,235314,237449,239420,241427,243838,245801,247433,249328,251487
42043,Dauphin,42,524.8697342,527.8852674,39.6,0,0,0,0,0,0,0,0,256400,264823,266576,267891,269035,269946,271094,271962,273329,274515,275632,277071
42045,Delaware,42,183.8110498,3075.5931184,38.9,0,0,0,0,0,0,0,0,555018,556468,557648,558874,559771,560775,561683,562316,563384,563527,564554,565328
42047,Elk,42,826.900761,36.3731676,47.9,0,0,0,0,0,0,0,0,32594,32480,32233,31981,31799,31584,31370,31111,30781,30608,30340,30077
42049,Erie,42,798.9122514,340.5205009,39.7,0,0,0,0,0,0,0,0,279721,279234,279824,280181,280518,280132,279858,279133,277794,275972,273835,272046
42051,Fayette,42,790.7577272,164.8153354,45.1,0,0,0,0,0,0,0,0,143925,138807,137803,136914,136145,135376,134851,134229,133160,132289,131302,130329
42053,Forest,42,427.2586361,16.8282146,47,0,0,0,0,0,0,0,0,6811,7585,7600,7664,7696,7649,7581,7493,7388,7351,7313,7190
42055,Franklin,42,772.2985521,200.640024,41.7,0,0,0,0,0,0,0,0,141556,146558,148239,149554,150594,151517,152285,152707,153003,153751,154147,154954
42057,Fulton,42,437.5510311,33.1207081,45.7,0,0,0,0,0,0,0,0,14808,14839,14858,14829,14779,14747,14694,14653,14631,14506,14506,14492
42059,Greene,42,575.9319712,63.3477595,42.5,0,0,0,0,0,0,0,0,39509,39003,38895,38614,38362,38171,37938,37669,37338,37144,36870,36484
42061,Huntingdon,42,874.6510014,51.6148726,44.1,0,0,0,0,0,0,0,0,45479,45830,45898,45931,45874,45950,45906,45844,45686,45421,45369,45145
42063,Indiana,42,827.4031633,102.0820366,40.2,0,0,0,0,0,0,0,0,87629,88745,88997,88648,88404,88301,87895,87491,86551,85755,85032,84463
42065,Jefferson,42,652.4348692,66.7806122,43.9,0,0,0,0,0,0,0,0,44965,45244,45173,45051,45015,44935,44756,44575,44258,44084,43846,43570
42067,Juniata,42,391.3905023,62.9984628,42.9,0,0,0,0,0,0,0,0,23107,24385,24439,24664,24737,24793,24829,24811,24448,24562,24624,24657
42069,Lackawanna,42,458.8857428,457.9832852,42.1,0,0,0,0,0,0,0,0,209100,213731,214057,214353,214275,214023,213459,213006,211960,211454,210652,210162
42071,Lancaster,42,943.9231935,575.3116395,38.7,0,0,0,0,0,0,0,0,498918,511250,515817,519913,523306,526839,530216,533110,536494,538347,540999,543050
42073,Lawrence,42,357.3647891,241.0646002,45.3,0,0,0,0,0,0,0,0,90962,91682,91341,90885,90374,89859,89162,88528,88231,87382,86727,86148
42075,Lebanon,42,361.8349538,388.0498512,41.1,0,0,0,0,0,0,0,0,127882,131341,132550,133578,134411,135184,135776,136950,137616,138674,139729,140410
42077,Lehigh,42,345.3305233,1063.728733,39,0,0,0,0,0,0,0,0,337077,343946,347197,350165,352068,354537,356756,358792,360774,362613,365052,367338
42079,Luzerne,42,889.8756065,356.8442574,42.7,0,0,0,0,0,0,0,0,311919,319120,319897,320555,320827,320392,320095,318917,318222,317884,317663,317547
42081,Lycoming,42,1228.9185588,92.7758794,41.5,0,0,0,0,0,0,0,0,117043,116376,116335,116447,116604,116676,116656,116313,115398,114859,114330,114014
42083,McKean,42,979.6933127,41.8712667,43.6,0,0,0,0,0,0,0,0,43622,43853,43642,43451,43294,43024,42884,42609,42070,41806,41401,41021
42085,Mercer,42,672.5198676,164.3356655,45,0,0,0,0,0,0,0,0,117098,117296,116939,116474,116059,115739,115320,114598,113623,112630,111518,110519
42087,Mifflin,42,411.0449284,112.3453832,44,0,0,0,0,0,0,0,0,45961,46583,46671,46694,46698,46705,46675,46585,46452,46362,46276,46179
42089,Monroe,42,608.355484,277.5087994,43.3,0,0,0,0,0,0,0,0,163925,168080,169050,169346,168947,168342,167881,167126,167306,167586,168032,168824
42091,Montgomery,42,482.9705844,1712.6922977,41.3,0,0,0,0,0,0,0,0,776306,790497,794921,799886,804621,809372,812970,815876,818677,821301,823823,827180
42093,Montour,42,130.2408724,139.572161,43.4,0,0,0,0,0,0,0,0,17776,18152,18193,18243,18379,18475,18508,18404,18302,18294,18259,18178
42095,Northampton,42,369.7873938,822.724098,42.2,0,0,0,0,0,0,0,0,293610,294536,296323,297519,298439,299225,299616,300520,300941,301778,302809,304233
42097,Northumberland,42,457.6636605,199.3472672,44.5,0,0,0,0,0,0,0,0,91286,94099,94321,94441,94444,94294,94006,93590,93038,92325,91761,91234
42099,Perry,42,551.4490627,83.6577721,43.4,0,0,0,0,0,0,0,0,45048,45599,45785,45791,45808,45788,45677,45647,45878,45924,46053,46133
42101,Philadelphia,42,134.3563624,11771.1656671,34.6,0,0,0,0,0,0,0,0,1531112,1504950,1514456,1525811,1536704,1546920,1555072,1559938,1569657,1575522,1579075,1581531
42103,Pike,42,544.8950135,102.1481178,48.6,0,0,0,0,0,0,0,0,58335,56993,57242,57437,57179,56883,56632,56210,55687,55498,55453,55660
42105,Potter,42,1081.2484867,15.4312355,47.4,0,0,0,0,0,0,0,0,17142,17583,17487,17466,17487,17451,17377,17239,17070,16937,16806,16685
42107,Schuylkill,42,778.5782605,182.3002352,44.3,0,0,0,0,0,0,0,0,146870,148288,148195,147935,147700,147146,146360,145503,144287,143555,142674,141935
42109,Snyder,42,328.7839718,123.0351948,40.4,0,0,0,0,0,0,0,0,38261,39400,39597,39620,39711,39922,40046,40246,40570,40466,40483,40452
42111,Somerset,42,1075.0457581,68.6891692,46.2,0,0,0,0,0,0,0,0,77710,78219,77946,77638,77341,77011,76617,76201,75619,74949,74361,73844
42113,Sullivan,42,449.9391168,13.4195934,54.5,0,0,0,0,0,0,0,0,6219,6467,6469,6453,6419,6400,6381,6302,6192,6177,6135,6038
42115,Susquehanna,42,823.4951845,49.3069064,48.7,0,0,0,0,0,0,0,0,41116,43343,43311,43171,42948,42708,42369,41832,41716,41340,40970,40604
42117,Tioga,42,1133.8907942,35.9461424,44.9,0,0,0,0,0,0,0,0,40828,41631,41850,42081,42267,42358,42284,42031,41550,41226,40944,40759
42119,Union,42,315.9522021,141.8917156,39.6,0,0,0,0,0,0,0,0,43424,44866,44872,44944,44932,44955,44958,45178,45056,45114,45111,44831
42121,Venango,42,674.2642898,76.1644963,47.4,0,0,0,0,0,0,0,0,54817,55320,55106,54865,54590,54265,53906,53460,52880,52376,51818,51355
42123,Warren,42,884.2814524,44.6305867,47.4,0,0,0,0,0,0,0,0,41025,41877,41771,41613,41429,41218,40962,40649,40345,40035,39756,39466
42125,Washington,42,857.0089661,241.6322445,44.5,0,0,0,0,0,0,0,0,206037,206987,207451,207916,208047,208157,208226,208269,207661,207547,207212,207081
42127,Wayne,42,725.7688369,70.639572,48.5,0,0,0,0,0,0,0,0,51233,52302,52477,52299,52212,51967,51642,51307,51656,51536,51422,51268
42129,Westmoreland,42,1027.7115912,341.2650037,47.2,0,0,0,0,0,0,0,0,363222,365841,365438,364877,364090,362587,361251,359377,356835,354751,352590,350722
42131,Wyoming,42,397.2501164,68.1636049,45.2,0,0,0,0,0,0,0,0,27882,28262,28333,28221,28177,28229,28147,27975,27760,27588,27327,27078
42133,York,42,904.3648709,494.9639403,41,0,0,0,0,0,0,0,0,419563,428175,431967,434579,436339,438052,439660,440604,442216,444014,445565,447628
44001,Bristol,44,24.1316654,2015.8161174,44.5,0,0,0,0,0,0,0,0,50022,50501,50264,49796,49426,49338,49176,49228,49028,48900,48764,48645
44003,Kent,44,168.5677447,973.6263621,43.8,0,0,0,0,0,0,0,0,169202,167235,166631,166066,165628,165253,164958,164886,164012,163861,163869,164122
44005,Newport,44,102.4304264,807.6799339,45.8,0,0,0,0,0,0,0,0,81693,83253,82765,82503,82545,82772,82663,82714,83204,83075,82801,82731
44007,Providence,44,409.4812965,1553.5776738,37.4,0,0,0,0,0,0,0,0,629400,628413,627362,627414,627469,629280,630459,631344,633704,634533,635737,636161
44009,Washington,44,329.2783258,383.0771421,45,0,0,0,0,0,0,0,0,127064,126987,126937,126692,126627,126609,126405,126319,126190,126242,126060,126139
50001,Addison,50,766.3307256,48.2128652,43.7,0,0,0,0,0,0,0,0,36659,36841,36835,36814,36811,36883,36943,36926,36825,36939,36882,36947
50003,Bennington,50,674.2359206,52.8731842,46.3,0,0,0,0,0,0,0,0,36466,37122,37093,36990,36871,36739,36589,36503,36054,35920,35746,35649
50005,Caledonia,50,649.2126082,46.2514123,45,0,0,0,0,0,0,0,0,30356,31214,31198,31170,31157,31109,31012,30859,30576,30425,30234,30027
50007,Chittenden,50,536.8489596,304.3947409,36.5,0,0,0,0,0,0,0,0,150924,154729,155666,156696,157637,158686,159711,160510,160985,162052,162646,163414
50009,Essex,50,662.3694354,9.3286309,51.4,0,0,0,0,0,0,0,0,6436,6359,6350,6316,6276,6231,6207,6173,6203,6208,6200,6179
50011,Franklin,50,630.9594361,78.0953532,40.5,0,0,0,0,0,0,0,0,47861,47547,47687,47853,48019,48226,48418,48625,48816,49025,49116,49275
50013,Grand Isle,50,81.7655968,86.5278342,48.7,0,0,0,0,0,0,0,0,7575,7105,7056,7032,6984,6979,6952,6945,6950,6965,7022,7075
50015,Lamoille,50,461.2542747,55.0152083,40.4,0,0,0,0,0,0,0,0,25253,24040,24234,24471,24670,24843,25027,25136,25191,25268,25318,25376
50017,Orange,50,687.0078031,42.0271791,46.7,0,0,0,0,0,0,0,0,28977,29059,29015,28980,28966,28927,28929,28897,28901,28937,28908,28873
50019,Orleans,50,694.5488454,38.6481097,46.1,0,0,0,0,0,0,0,0,27265,27256,27247,27198,27184,27160,27146,27076,26951,26911,26901,26843
50021,Rutland,50,930.5495523,62.8950923,47,0,0,0,0,0,0,0,0,63306,62278,61956,61599,61270,60864,60530,60133,59676,59273,58892,58527
50023,Washington,50,687.0594373,84.9067735,43.7,0,0,0,0,0,0,0,0,58788,59379,59426,59462,59427,59333,59132,58963,58691,58477,58350,58336
50025,Windham,50,785.9579717,54.2369968,47.2,0,0,0,0,0,0,0,0,43627,44438,44409,44310,44216,44050,43858,43609,43332,43150,42823,42628
50027,Windsor,50,969.1435013,56.9482228,48,0,0,0,0,0,0,0,0,56921,56891,56786,56607,56416,56328,56150,55894,55485,55427,55275,55191
